experiment_id,config,checkpoint,mpjpe,mpjpe_1p,mpjpe_2p,mpjpe_3p,mpjpeh,mpjpev,mpjped,count_1p,count_2p,count_3p,latency_ms,fps,peak_memory_allocated_mb,params_m,flops_g,notes,created_at
M3,work_dirs/wimamba_backbone_ablation_witidar_5e/M3/wi_tidir_wifi_transformer.py,work_dirs/wimamba_backbone_ablation_witidar_5e/M3/latest.pth,207.55319213867188,162.209228515625,230.53085327148438,229.02101135253906,97.40119934082031,109.61751556396484,95.69943237304688,2586,3184,2054,6.0254,165.9638,38.49,7.0587,,M3 spectral input adapter + WiTiDARHead + Transformer encoder baseline,2026-06-04T08:33:22Z
M2FLAT,work_dirs/wimamba_backbone_ablation_witidar_5e/M2FLAT/wi_tidir_wifi_mamba2_flatten.py,work_dirs/wimamba_backbone_ablation_witidar_5e/M2FLAT/latest.pth,212.3726348876953,174.0081024169922,227.08982849121094,237.85911560058594,106.40287017822266,115.93025970458984,87.92546844482422,2586,3184,2054,4.5305,220.7241,25.29,3.6175,,Mamba2 flattened single-route L=180 wrapper,2026-06-04T10:11:10Z
M2CSI,work_dirs/wimamba_backbone_ablation_witidar_5e/M2CSI/wi_tidir_wifi_mamba2_flattened.py,work_dirs/wimamba_backbone_ablation_witidar_5e/M2CSI/latest.pth,220.00894165039062,181.81329345703125,231.18496704101562,250.77293395996094,105.02526092529297,125.86314392089844,89.90677642822266,2586,3184,2054,4.5565,219.4664,25.29,3.6175,,Mamba2 CSI flattened single-route via WiMamba2CSIEncoder,2026-06-04T11:47:16Z
M1V2,work_dirs/wimamba_backbone_ablation_witidar_5e/M1V2/wi_tidir_wifi_mamba_v2.py,work_dirs/wimamba_backbone_ablation_witidar_5e/M1V2/latest.pth,235.95912170410156,200.91360473632812,251.7576141357422,255.59326171875,105.17985534667969,131.6071014404297,104.80982208251953,2586,3184,2054,5.0245,199.025,153.14,4.0772,,Mamba1 fast factorized: temporal Mamba + Conv1d antenna mixer,2026-06-04T13:29:06Z
M1FLAT,work_dirs/wimamba_backbone_ablation_witidar_5e/M1FLAT/wi_tidir_wifi_mamba1_flatten.py,work_dirs/wimamba_backbone_ablation_witidar_5e/M1FLAT/latest.pth,239.1044158935547,211.5944061279297,251.74842834472656,254.13926696777344,108.78594970703125,128.7670440673828,110.5069808959961,2586,3184,2054,4.0394,247.5608,26.5,4.0737,,Mamba1 flattened single-route L=180 scan,2026-06-04T15:05:22Z
