experiment_id,latency_ms,fps,params_m,peak_memory_allocated_mb,backbone,witidar_encoder,witidar_decoder_attn
M3,6.0254,165.9638,7.0587,38.49,0.5592,3.7423,0.3479
M2FLAT,4.5305,220.7241,3.6175,25.29,0.376,3.0353,0.2535
M2CSI,4.5565,219.4664,3.6175,25.29,0.3837,3.0776,0.2558
M1V2,5.0245,199.025,4.0772,153.14,0.5199,2.9527,0.3467
M1FLAT,4.0394,247.5608,4.0737,26.5,0.5329,1.9323,0.3537
