experiment_id,latency_ms,fps,params_m,peak_memory_allocated_mb,backbone,witidar_encoder,witidar_decoder_attn
M2SA,4.9214,203.1953,3.8811,26.48,0.3817,3.2919,0.2555
M2SAP,5.0166,199.3371,3.8888,26.5,0.3978,3.3633,0.2661
