experiment_id,config,checkpoint,mpjpe,mpjpe_1p,mpjpe_2p,mpjpe_3p,mpjpeh,mpjpev,mpjped,count_1p,count_2p,count_3p,latency_ms,fps,peak_memory_allocated_mb,params_m,flops_g,notes,created_at
M3,work_dirs/wimamba_backbone_ablation_witidar_20e/M3/wi_tidir_wifi_transformer.py,work_dirs/wimamba_backbone_ablation_witidar_20e/M3/latest.pth,158.75955200195312,127.12903594970703,163.3157958984375,191.5191650390625,72.65843200683594,88.48615264892578,69.41017150878906,2586,3184,2054,5.6233,177.8318,38.49,7.0587,,M3 spectral input adapter + WiTiDARHead + Transformer encoder baseline,2026-06-05T19:39:59Z
M2FLAT,work_dirs/wimamba_backbone_ablation_witidar_20e/M2FLAT/wi_tidir_wifi_mamba2_flatten.py,work_dirs/wimamba_backbone_ablation_witidar_20e/M2FLAT/latest.pth,161.15980529785156,128.7935028076172,165.4215545654297,195.30238342285156,70.10515594482422,93.32695770263672,69.1635971069336,2586,3184,2054,4.6975,212.8803,25.29,3.6175,,Mamba2 flattened single-route L=180 wrapper,2026-06-06T02:03:38Z
M2CSI,work_dirs/wimamba_backbone_ablation_witidar_20e/M2CSI/wi_tidir_wifi_mamba2_flattened.py,work_dirs/wimamba_backbone_ablation_witidar_20e/M2CSI/latest.pth,158.2799835205078,125.95763397216797,162.32911682128906,192.6962890625,69.92485809326172,90.9093017578125,67.31627655029297,2586,3184,2054,4.6703,214.1193,25.29,3.6175,,Mamba2 CSI flattened single-route via WiMamba2CSIEncoder,2026-06-06T08:31:47Z
M1FLAT,work_dirs/wimamba_backbone_ablation_witidar_20e/M1FLAT/wi_tidir_wifi_mamba1_flatten.py,work_dirs/wimamba_backbone_ablation_witidar_20e/M1FLAT/latest.pth,170.9513397216797,133.6387939453125,184.60086059570312,196.7678680419922,75.60684967041016,96.95083618164062,74.90801239013672,2586,3184,2054,2.7864,358.8835,26.5,4.0737,,Mamba1 flattened single-route L=180 scan,2026-06-06T14:54:01Z
