experiment_id,mpjpe,matched_only_mpjpe,missed_persons,matched_persons,total_gt_persons,miss_rate_pct,mpjpe_1p,mpjpe_2p,mpjpe_3p,mpjpeh,mpjpev,mpjped,latency_ms,fps,params_m,peak_memory_allocated_mb
E_NOFLOW,167.7315123687506,165.91921916762232,82,15034,15116,0.5424715533209844,122.87027553136461,163.02638589137763,191.42080218851547,76.5000964744156,97.66693314316096,71.64052434802277,5.8015,172.3684,1.8134,18.41
E_RF1,168.0858819410895,166.4086563445152,76,15040,15116,0.5027785128340831,125.95762584565318,161.83181976613088,192.22894234240965,76.05727566029856,97.97480952509436,72.2111930879975,4.9,204.0803,3.6175,25.29
E_RF2,165.4828197904982,163.8818335517928,72,15044,15116,0.4763164858428155,121.78120431435357,159.33509745430106,190.17627539877688,74.76682786583174,97.34133417791209,69.09669024182804,5.2402,190.8333,3.6175,25.29
E_RF4,167.08610319189054,165.3593254321464,78,15038,15116,0.5160095263297169,121.60355337884937,160.81756009528385,192.6518215066773,75.2415343076661,98.90347087966856,69.24687627252052,6.4486,155.072,3.6175,25.29
E_RF8,168.9411807229324,167.1354854202372,82,15034,15116,0.5424715533209844,122.32151671481151,162.41159472573344,195.25388029371518,76.035198301069,100.3467521644768,69.75911122700877,8.5537,116.9086,3.6175,25.29
